"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1064","Checks login with valid username and password","SauceDemo crossBrowser","2026-06-08","passed","2026-06-08","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithPositiveCred"
"","1233","Checks login with invalid username and invalid password","SauceDemo crossBrowser","2026-06-08","passed","2026-06-08","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithNotValidCred"
"","564","Checks login with invalid username and invalid password","SauceDemo crossBrowser","2026-06-08","passed","2026-06-08","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNotValidCred"
"","830","Checks login with valid username and empty password","SauceDemo crossBrowser","2026-06-08","passed","2026-06-08","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithEmptyPassword"
"","996","Checks login with valid username and empty password","SauceDemo crossBrowser","2026-06-08","passed","2026-06-08","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyPassword"
"","3704","Multiple items added to cart","SauceDemo crossBrowser","2026-06-08","passed","2026-06-08","tests.CartTest","Edge","tests.CartTest","checkMultipleItemsAddedToCart"
"","11275","Check total price equals subtotal plus tax","SauceDemo crossBrowser","2026-06-08","passed","2026-06-08","tests.CheckoutTest","Edge","tests.CheckoutTest","checkTotalPriceEqualsSubtotalPlusTax"
"","675","Checks login with invalid username and invalid password","SauceDemo crossBrowser","2026-06-08","passed","2026-06-08","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithNotValidCred"
"","21097","Check checkout with cart","SauceDemo crossBrowser","2026-06-08","passed","2026-06-08","tests.CheckoutTest","Chrome","tests.CheckoutTest","checkCheckoutWithEmptyCart"
"","908","Checks login with empty username and valid password","SauceDemo crossBrowser","2026-06-08","passed","2026-06-08","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithEmptyUserName"
"","811","Checks login with invalid username and invalid password","SauceDemo crossBrowser","2026-06-08","passed","2026-06-08","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNotValidCred"
"","639","Checks login with invalid username and invalid password","SauceDemo crossBrowser","2026-06-08","passed","2026-06-08","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithNotValidCred"
"","21243","Check checkout with cart","SauceDemo crossBrowser","2026-06-08","passed","2026-06-08","tests.CheckoutTest","Edge","tests.CheckoutTest","checkCheckoutWithEmptyCart"
"","21048","Check checkout with cart","SauceDemo crossBrowser","2026-06-08","passed","2026-06-08","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkCheckoutWithEmptyCart"
"","1113","Check checkout with empty user data","SauceDemo crossBrowser","2026-06-08","passed","2026-06-08","tests.CheckoutTest","Edge","tests.CheckoutTest","checkCheckoutWithEmptyUserData"
"","1083","Check checkout with empty user data","SauceDemo crossBrowser","2026-06-08","passed","2026-06-08","tests.CheckoutTest","Chrome","tests.CheckoutTest","checkCheckoutWithEmptyUserData"
"","11161","Check subtotal Price equals to sum of items","SauceDemo crossBrowser","2026-06-08","passed","2026-06-08","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkSubtotalPriceEqualsToSumOfItems"
